participant,trial,stimulus,response
p01,74,a2/b2,a2/b2
p01,75,a1/b1,a2/b2
p01,76,a2/b1,a2/b1
p01,77,a1/b1,a1/b1
p01,78,a1/b1,a1/b1
p01,79,a1/b1,a1/b1
p01,80,a1/b1,a2/b2
p01,81,a2/b1,a2/b1
p01,82,a1/b1,a1/b2
p01,83,a1/b1,a1/b2
p01,84,a1/b1,a1/b1
p01,85,a2/b1,a2/b2
p01,86,a2/b1,a2/b1
p01,87,a2/b2,a1/b2
p01,88,a1/b2,a1/b2
p01,89,a1/b1,a1/b1
p01,90,a1/b1,a1/b1
p01,91,a2/b1,a2/b1
p01,92,a2/b2,a2/b1
p01,93,a2/b1,a2/b1
p01,94,a1/b1,a2/b1
p01,95,a1/b2,a1/b2
p01,96,a1/b2,a1/b2
p01,97,a1/b1,a1/b1
p01,98,a1/b1,a2/b2
p01,99,a2/b2,a2/b2
p01,100,a2/b1,a2/b1
p01,101,a2/b1,a2/b1
p01,102,a1/b2,a1/b2
p01,103,a2/b1,a2/b2
p01,104,a1/b2,a1/b2
p01,105,a1/b2,a1/b2
p01,106,a2/b1,a2/b1
p01,107,a2/b1,a1/b2
p01,108,a2/b1,a2/b1
p01,109,a2/b2,a2/b2
p01,110,a2/b2,a2/b2
p01,111,a2/b1,a2/b1
p01,112,a2/b2,a1/b2
p01,113,a1/b1,a1/b1
p01,114,a1/b2,a1/b2
p01,115,a1/b1,a1/b1
p01,116,a2/b2,a2/b2
p01,117,a1/b1,a1/b1
p01,118,a1/b2,a1/b2
p01,119,a2/b1,a2/b1
p01,120,a1/b1,a1/b1
p01,121,a1/b1,a2/b2
p01,122,a2/b1,a1/b2
p01,123,a2/b1,a2/b1
p01,124,a1/b1,a1/b1
p01,125,a1/b1,a1/b1
p01,126,a1/b1,a2/b2
p01,127,a2/b2,a2/b2
p01,128,a2/b2,a2/b2
p01,129,a2/b2,a2/b2
p01,130,a1/b2,a1/b2
p01,131,a1/b1,a1/b1
p01,132,a2/b2,a1/b2
p01,133,a2/b2,a2/b2
p01,134,a2/b2,a2/b2
p01,135,a1/b2,a1/b2
p01,136,a1/b1,a1/b1
p01,137,a1/b2,a1/b2
p01,138,a2/b1,a2/b1
p01,139,a1/b1,a2/b1
p01,140,a2/b1,a2/b1
p01,141,a2/b2,a2/b2
p01,142,a1/b2,a2/b2
p01,143,a1/b1,a1/b1
p01,144,a1/b1,a1/b1
p01,145,a2/b1,a2/b1
p01,146,a1/b1,a2/b2
p01,147,a1/b2,a1/b2
p01,148,a2/b2,a2/b2
p01,149,a1/b2,a1/b2
p01,150,a2/b1,a2/b1
p01,151,a1/b2,a1/b2
p01,152,a2/b1,a2/b1
p01,153,a2/b2,a2/b2
p01,154,a2/b1,a2/b1
p01,155,a2/b1,a2/b1
p01,156,a1/b1,a1/b1
p01,157,a1/b2,a1/b2
p01,158,a1/b2,a1/b2
p01,159,a2/b2,a2/b2
p01,160,a1/b1,a1/b1
p02,1,a2/b2,a2/b2
p02,2,a1/b1,a1/b1
p02,3,a2/b1,a1/b1
p02,4,a2/b1,a2/b1
p02,5,a1/b2,a1/b2
p02,6,a2/b1,a2/b1
p02,7,a1/b1,a1/b2
p02,8,a2/b2,a2/b2
p02,9,a1/b2,a1/b2
p02,10,a2/b1,a2/b1
p02,11,a2/b1,a2/b1
p02,12,a2/b2,a2/b2
p02,13,a2/b1,a2/b1
p02,14,a1/b1,a2/b2
p02,15,a1/b1,a1/b1
p02,16,a2/b1,a2/b1
p02,17,a2/b1,a2/b1
p02,18,a2/b2,a2/b2
p02,19,a1/b1,a1/b1
p02,20,a2/b2,a2/b2
p02,21,a1/b2,a2/b2
p02,22,a2/b2,a2/b2
p02,23,a2/b1,a2/b1
p02,24,a1/b2,a1/b2
p02,25,a2/b2,a2/b2
p02,26,a1/b2,a1/b2
p02,27,a2/b1,a2/b1
p02,28,a1/b2,a1/b2
p02,29,a1/b2,a1/b2
p02,30,a2/b1,a2/b1
p02,31,a2/b2,a2/b2
p02,32,a2/b1,a2/b1
p02,33,a1/b1,a2/b2
p02,34,a1/b2,a1/b2
p02,35,a1/b2,a2/b2
p02,36,a2/b2,a2/b2
p02,37,a1/b2,a2/b1
p02,38,a1/b2,a1/b2
p02,39,a2/b2,a2/b2
p02,40,a2/b1,a2/b1
p02,41,a2/b2,a2/b2
p02,42,a2/b1,a2/b1
p02,43,a2/b1,a2/b2
p02,44,a1/b1,a2/b2
p02,45,a1/b1,a1/b1
p02,46,a1/b1,a1/b1
p02,47,a1/b1,a1/b1
p02,48,a1/b1,a1/b1
p02,49,a1/b2,a1/b2
p02,50,a2/b1,a2/b1
p02,51,a2/b2,a2/b2
p02,52,a1/b2,a1/b2
p02,53,a2/b2,a2/b2
p02,54,a2/b1,a2/b1
p02,55,a1/b1,a1/b1
p02,56,a2/b2,a2/b2
p02,57,a2/b1,a2/b1
p02,58,a2/b1,a2/b1
p02,59,a2/b2,a2/b2
p02,60,a1/b1,a1/b1
p02,61,a2/b1,a2/b1
p02,62,a2/b2,a2/b2
p02,63,a1/b2,a1/b2
p02,64,a1/b2,a1/b2
p02,65,a2/b1,a1/b1
p02,66,a2/b2,a2/b2
p02,67,a1/b2,a1/b2
p02,68,a1/b1,a2/b2
p02,69,a2/b2,a2/b2
p02,70,a2/b1,a2/b1
p02,71,a2/b2,a2/b2
p02,72,a1/b2,a1/b2
p02,73,a2/b2,a2/b2
p02,74,a1/b1,a1/b1
p02,75,a2/b2,a2/b2
p02,76,a1/b1,a1/b1
p02,77,a2/b2,a2/b2
p02,78,a2/b2,a2/b2
p02,79,a2/b2,a2/b1
p02,80,a2/b1,a2/b1
p02,81,a2/b1,a2/b1
p02,82,a1/b2,a1/b1
p02,83,a2/b2,a1/b1
p02,84,a2/b2,a2/b2
p02,85,a2/b1,a2/b1
p02,86,a1/b1,a1/b1
p02,87,a1/b2,a1/b1
p02,88,a1/b2,a2/b1
p02,89,a1/b1,a1/b2
p02,90,a1/b2,a1/b2
p02,91,a2/b1,a1/b1
p02,92,a1/b2,a1/b2
p02,93,a1/b1,a2/b1
p02,94,a2/b1,a2/b1
p02,95,a1/b2,a1/b2
p02,96,a1/b1,a2/b1
p02,97,a1/b1,a1/b1
p02,98,a1/b1,a1/b1
p02,99,a2/b1,a2/b1
p02,100,a2/b2,a2/b2
p02,101,a1/b1,a1/b1
p02,102,a2/b1,a2/b1
p02,103,a2/b2,a2/b2
p02,104,a1/b1,a1/b1
p02,105,a1/b1,a1/b1
p02,106,a2/b2,a2/b2
p02,107,a1/b1,a1/b1
p02,108,a2/b1,a2/b1
p02,109,a2/b2,a2/b2
p02,110,a2/b1,a2/b1
p02,111,a1/b2,a1/b2
p02,112,a2/b2,a2/b2
p02,113,a2/b2,a2/b2
p02,114,a2/b2,a2/b2
p02,115,a1/b2,a1/b2
p02,116,a2/b2,a2/b2
p02,117,a1/b1,a1/b1
p02,118,a2/b2,a2/b2
p02,119,a1/b2,a1/b2
p02,120,a1/b2,a1/b2
p02,121,a1/b1,a1/b1
p02,122,a2/b1,a2/b1
p02,123,a1/b1,a1/b1
p02,124,a2/b2,a2/b2
p02,125,a1/b1,a1/b1
p02,126,a2/b2,a1/b1
p02,127,a2/b2,a2/b2
p02,128,a2/b2,a2/b2
p02,129,a2/b1,a2/b1
p02,130,a2/b2,a2/b2
p02,131,a2/b2,a2/b2
p02,132,a2/b2,a2/b2
p02,133,a2/b1,a2/b1
p02,134,a1/b2,a1/b2
p02,135,a1/b2,a1/b2
p02,136,a2/b1,a2/b1
p02,137,a1/b2,a2/b1
p02,138,a1/b2,a1/b2
p02,139,a2/b2,a2/b2
p02,140,a1/b2,a1/b2
p02,141,a2/b2,a2/b2
p02,142,a1/b2,a1/b2
p02,143,a1/b2,a1/b2
p02,144,a1/b2,a1/b2
p02,145,a1/b1,a1/b1
p02,146,a2/b2,a2/b2
p02,147,a1/b1,a1/b1
p02,148,a1/b1,a1/b2
p02,149,a2/b2,a2/b2
p02,150,a2/b2,a2/b2
p02,151,a2/b2,a2/b2
p02,152,a2/b1,a2/b1
p02,153,a2/b1,a2/b1
p02,154,a2/b1,a2/b1
p02,155,a2/b1,a2/b1
p02,156,a1/b1,a1/b2
p02,157,a1/b2,a1/b2
p02,158,a1/b1,a1/b1
p02,159,a2/b1,a2/b1
p02,160,a1/b2,a1/b2
p03,1,a1/b2,a1/b2
p03,2,a1/b2,a1/b2
p03,3,a1/b2,a1/b2
p03,4,a1/b1,a1/b1
p03,5,a1/b2,a1/b2
p03,6,a1/b2,a1/b2
p03,7,a1/b2,a1/b2
p03,8,a1/b1,a1/b2
p03,9,a2/b1,a2/b1
p03,10,a1/b1,a1/b1
p03,11,a1/b1,a1/b2
p03,12,a1/b2,a1/b2
p03,13,a2/b1,a2/b1
p03,14,a2/b2,a2/b2
p03,15,a1/b1,a1/b1
p03,16,a1/b2,a1/b2
p03,17,a1/b1,a1/b1
p03,18,a1/b2,a1/b2
p03,19,a1/b1,a1/b1
p03,20,a2/b1,a2/b1
p03,21,a1/b2,a1/b2
p03,22,a1/b1,a1/b1
p03,23,a1/b1,a1/b1
p03,24,a1/b2,a1/b2
p03,25,a1/b1,a1/b1
p03,26,a1/b1,a1/b1
p03,27,a1/b2,a1/b2
p03,28,a2/b2,a2/b2
p03,29,a2/b2,a2/b2
p03,30,a1/b1,a1/b1
p03,31,a1/b2,a2/b1
p03,32,a1/b1,a1/b1
p03,33,a2/b2,a2/b2
p03,34,a1/b2,a1/b2
p03,35,a1/b1,a1/b1
p03,36,a1/b2,a1/b2
p03,37,a2/b2,a1/b1
p03,38,a2/b2,a2/b2
p03,39,a1/b2,a1/b2
p03,40,a1/b2,a2/b1
p03,41,a2/b2,a1/b2
p03,42,a2/b1,a2/b1
p03,43,a2/b2,a2/b2
p03,44,a2/b1,a2/b2
p03,45,a2/b1,a2/b1
p03,46,a1/b2,a1/b2
p03,47,a2/b1,a2/b1
p03,48,a1/b2,a1/b2
p03,49,a2/b1,a2/b2
p03,50,a2/b2,a2/b2
p03,51,a2/b1,a2/b1
p03,52,a1/b1,a1/b1
p03,53,a1/b2,a1/b2
p03,54,a1/b2,a1/b1
p03,55,a1/b2,a2/b1
p03,56,a2/b1,a1/b1
p03,57,a1/b2,a1/b2
p03,58,a1/b1,a1/b1
p03,59,a2/b2,a2/b2
p03,60,a1/b1,a1/b1
p03,61,a2/b2,a2/b2
p03,62,a1/b1,a1/b2
p03,63,a2/b2,a2/b2
p03,64,a1/b2,a1/b2
p03,65,a1/b2,a1/b2
p03,66,a2/b2,a2/b2
p03,67,a1/b2,a1/b2
p03,68,a1/b1,a2/b1
p03,69,a1/b1,a1/b1
p03,70,a2/b1,a2/b1
p03,71,a2/b2,a2/b2
p03,72,a2/b1,a2/b1
p03,73,a2/b1,a2/b2
p03,74,a1/b2,a2/b2
p03,75,a2/b1,a1/b1
p03,76,a1/b2,a1/b2
p03,77,a1/b1,a1/b1
p03,78,a2/b1,a2/b1
p03,79,a1/b2,a1/b2
p03,80,a2/b2,a2/b2
p03,81,a2/b2,a2/b2
p03,82,a2/b1,a2/b1
p03,83,a1/b1,a1/b1
p03,84,a2/b2,a2/b2
p03,85,a2/b1,a2/b1
p03,86,a1/b2,a1/b2
p03,87,a2/b1,a2/b1
p03,88,a1/b2,a1/b2
p03,89,a2/b2,a2/b2
p03,90,a1/b2,a1/b2
p03,91,a2/b2,a2/b2
p03,92,a2/b2,a2/b2
p03,93,a2/b1,a2/b1
p03,94,a2/b1,a2/b1
p03,95,a2/b2,a2/b2
p03,96,a2/b2,a1/b2
p03,97,a1/b1,a1/b1
p03,98,a1/b2,a2/b2
p03,99,a1/b1,a1/b1
p03,100,a1/b1,a1/b1
p03,101,a2/b1,a2/b1
p03,102,a2/b2,a2/b2
p03,103,a1/b2,a1/b2
p03,104,a2/b2,a2/b2
p03,105,a2/b2,a2/b2
p03,106,a2/b2,a2/b2
p03,107,a2/b1,a2/b1
p03,108,a1/b2,a1/b2
p03,109,a1/b1,a2/b1
p03,110,a2/b1,a2/b1
p03,111,a2/b1,a2/b1
p03,112,a2/b1,a2/b1
p03,113,a2/b2,a2/b1
p03,114,a2/b2,a2/b2
p03,115,a2/b1,a2/b1
p03,116,a2/b2,a2/b2
p03,117,a1/b2,a1/b2
p03,118,a2/b2,a2/b2
p03,119,a2/b2,a2/b2
p03,120,a2/b2,a2/b2
p03,121,a2/b1,a2/b1
p03,122,a2/b2,a2/b2
p03,123,a1/b2,a1/b2
p03,124,a1/b1,a1/b1
p03,125,a2/b1,a2/b1
p03,126,a2/b2,a2/b2
p03,127,a1/b2,a1/b2
p03,128,a1/b1,a1/b1
p03,129,a2/b2,a2/b2
p03,130,a2/b1,a2/b1
p03,131,a1/b2,a1/b2
p03,132,a1/b2,a1/b2
p03,133,a2/b2,a2/b2
p03,134,a1/b1,a1/b1
p03,135,a1/b2,a1/b2
p03,136,a1/b2,a1/b2
p03,137,a2/b2,a1/b2
p03,138,a2/b2,a2/b2
p03,139,a2/b2,a1/b2
p03,140,a1/b2,a1/b2
p03,141,a1/b1,a2/b1
p03,142,a1/b1,a1/b1
p03,143,a2/b1,a2/b1
p03,144,a2/b1,a2/b1
p03,145,a1/b2,a1/b2
p03,146,a1/b1,a1/b1
p03,147,a2/b2,a2/b2
p03,148,a1/b1,a1/b1
p03,149,a1/b1,a1/b1
p03,150,a1/b2,a1/b2
p03,151,a1/b2,a1/b2
p03,152,a1/b1,a2/b2
p03,153,a1/b2,a1/b2
p03,154,a1/b2,a1/b2
p03,155,a2/b2,a2/b1
p03,156,a2/b2,a2/b2
p03,157,a1/b1,a1/b1
p03,158,a2/b1,a2/b1
p03,159,a2/b2,a2/b2
p03,160,a1/b2,a2/b1
